대여소_ID,위도,경도,동
ST-349,37.579876,126.906349,북가좌동
ST-348,37.572227,126.923065,연희동
ST-347,37.578892,126.910736,북가좌동
ST-346,37.586388,126.935127,홍은동
ST-345,37.577637,126.909653,북가좌동
ST-344,37.563965,126.898209,성산동
ST-343,37.542545,126.934296,현석동
ST-342,37.558949,126.907753,성산동
ST-341,37.565388,126.919327,연남동
ST-340,37.551365,126.903061,합정동
ST-34,37.556889,126.935104,창천동
ST-339,37.551342,126.902672,망원동
ST-338,37.566994,127.003464,을지로5가
ST-337,37.590233,126.99852,혜화동
ST-336,37.569836,126.982658,서린동
ST-3356,37.582298,127.029366,용두동
ST-3355,37.541199,126.942116,용강동
ST-3354,37.580559,126.968788,옥인동
ST-3353,37.569069,127.069466,장안동
ST-3352,37.557568,127.14016,암사동
ST-3351,37.540886,127.079285,화양동
ST-3350,37.475979,126.98391,방배동
ST-335,37.518509,126.978798,이촌동
ST-3349,37.580269,126.93425,홍은동
ST-3348,37.51263,127.042831,논현동
ST-3347,37.563259,126.930244,연희동
ST-3346,37.61039,127.101357,망우동
ST-3345,37.595272,127.08213,상봉동
ST-3344,37.605152,127.031296,하월곡동
ST-3343,37.503662,127.12606,오금동
ST-3342,37.560776,126.974808,태평로2가
ST-3341,37.515945,126.882889,문래동5가
ST-3340,37.551052,127.090439,구의동
ST-334,37.533512,126.972275,한강로1가
ST-3339,37.542065,127.098068,광장동
ST-3338,37.670994,127.050461,상계동
ST-3337,37.55875,126.859917,가양동
ST-3336,37.557446,127.138168,암사동
ST-3335,37.559494,127.145126,고덕동
ST-3334,37.566307,127.067688,장안동
ST-3333,37.576225,127.025803,신설동
ST-3332,37.508369,127.022324,반포동
ST-3331,37.520981,126.889297,문래동6가
ST-3330,37.518982,126.889404,문래동3가
ST-333,37.53484,126.977661,용산동1가
ST-3329,37.540436,127.148399,길동
ST-3328,37.573055,127.057213,답십리동
ST-3327,37.543449,126.838913,화곡동
ST-3326,37.543781,127.058037,성수동2가
ST-3325,37.544365,127.055931,성수동2가
ST-3324,37.56356,126.824623,마곡동
ST-3323,37.524212,126.90995,영등포동7가
ST-3322,37.524567,126.902,당산동3가
ST-3321,37.571796,127.038658,마장동
ST-3320,37.569115,127.037544,마장동
ST-332,37.53508,126.985382,용산동2가
ST-3319,37.531834,126.919456,여의도동
ST-3318,37.531071,126.916687,여의도동
ST-3317,37.573444,127.040886,용두동
ST-3316,37.566002,127.054314,답십리동
ST-3315,37.523491,126.921623,여의도동
ST-3314,37.518372,126.898445,문래동3가
ST-3313,37.515209,126.897629,문래동3가
ST-3312,37.540043,127.150742,길동
ST-3311,37.507607,126.89135,구로동
ST-3310,37.507896,127.010056,잠원동
ST-331,37.53841,126.986649,용산동2가
ST-3309,37.536961,127.062737,자양동
ST-3308,37.582047,127.020996,보문동5가
ST-3307,37.481319,127.054352,개포동
ST-3306,37.495636,126.857979,개봉동
ST-3305,37.564392,126.997299,인현동2가
ST-3304,37.526497,126.864067,신정동
ST-3303,37.506836,126.884789,신도림동
ST-3302,37.489204,127.051064,도곡동
ST-3301,37.657036,127.065933,상계동
ST-3300,37.521572,127.126884,방이동
