대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2551,서울특별시 강서구 화곡로 206 삼영빌딩,,37.543827,126.843689,강서구,556.0,27.8
ST-2550,서울특별시 강서구 양천로 559 가양이마트,,37.557133,126.863144,강서구,1876.0,93.8
ST-255,서울특별시 광진구 구의동 546-3,구의공원(테크노마트 앞),37.535969,127.094673,광진구,1537.0,96.0625
ST-2549,서울특별시 도봉구 창동,,37.659996,127.051277,도봉구,1626.0,81.3
ST-2548,서울특별시 광진구 광장로5길 25-1 장로회신학대학교,,37.549839,127.103027,광진구,16.0,1.6
ST-2547,서울특별시 광진구 광진구 자양로 80,,37.53471,127.084473,광진구,727.0,45.4375
ST-2546,서울특별시 광진구 광진구 뚝섬로52길 58,,37.529163,127.077988,광진구,1776.0,111.0
ST-2545,서울특별시 광진구 광진구 능동로 50,,37.53521,127.069,광진구,1042.0,65.125
ST-2544,서울특별시 광진구 광진구 광나루로 486,,37.545006,127.083374,광진구,884.0,55.25
ST-2543,서울특별시 광진구 광진구 동일로 296,,37.557755,127.072975,광진구,552.0,34.5
ST-2542,서울특별시 광진구 광진구 광나루로 416,,37.546513,127.075714,광진구,829.0,51.8125
ST-2541,서울특별시 광진구 광진구 능동 463-1,,37.547649,127.074707,광진구,967.0,60.4375
ST-2540,서울특별시 강서구 강서로 191 화평빌딩,강서로191,37.54324,126.838631,강서구,,
ST-254,서울특별시 광진구 강변역로 87-2 가로판매대 - 28,,37.535824,127.094162,광진구,1006.0,62.875
ST-2539,서울특별시 강서구 화곡로 215 강서문화센터,,37.544579,126.843781,강서구,184.0,9.2
ST-2538,서울특별시 강서구 공항대로 260 이화의대부속서울병원,,37.55846,126.836761,강서구,1717.0,85.85
ST-2537,서울특별시 마포구 상암산로 48-6 중앙일보빌딩,,37.577305,126.890183,마포구,886.0,42.19047619047619
ST-2536,서울특별시 마포구 마포구 성산동 275-26,,37.564156,126.90815,마포구,1981.0,94.33333333333333
ST-2535,서울특별시 마포구 마포구 상암동 1758,,37.583321,126.881561,마포구,633.0,30.142857142857142
ST-2534,서울특별시 마포구 합정동 402,,37.548367,126.916718,마포구,793.0,37.76190476190476
ST-2533,서울특별시 마포구 마포구 중동 275,,37.569492,126.911842,마포구,890.0,42.38095238095238
ST-2532,서울특별시 마포구 마포구 동교동 205-6,,37.55666,126.919868,마포구,719.0,34.23809523809524
ST-2531,서울특별시 마포구 마포구 서교동 445-7,,37.557308,126.918854,마포구,483.0,23.0
ST-2530,서울특별시 마포구 마포구 창전동 246-34,,37.547379,126.931633,마포구,450.0,21.428571428571427
ST-253,서울특별시 광진구 군자동 499,군자역 7번출구 베스트샵 앞,37.55603,127.078644,광진구,1487.0,92.9375
ST-2529,서울특별시 마포구 마포구 상암동 1171-1,,37.575222,126.899902,마포구,,
ST-2528,서울특별시 마포구 마포구 마포대로 122,,37.545853,126.952599,마포구,588.0,28.0
ST-2527,서울특별시 중구 퇴계로 135-14 구두수선대124,,37.561226,126.987495,중구,859.0,39.04545454545455
